Model,Quantization,Set,GR-EN,EN-GR,Global,T/S_GR_EN,T/S_EN_GR,RAM_GB,VRAM_GB
NLLB 3.3B,Fp4 AWQ,1,0.8871,0.8946,0.8908,2.0916,2.999,5.07,2.38
NLLB 3.3B,Fp4 AWQ,2,0.8776,0.892,0.8848,2.1989,3.2097,5.79,2.38
NLLB 3.3B,Fp4 AWQ,3,0.882,0.8872,0.8846,2.0863,2.8716,5.83,2.38
NLLB 3.3B,Int4 AWQ,1,0.8875,0.8968,0.8921,2.1143,2.9336,5.18,2.38
NLLB 3.3B,Int4 AWQ,2,0.8792,0.8877,0.8835,2.1549,3.0556,5.23,2.38
NLLB 3.3B,Int4 AWQ,3,0.8811,0.8842,0.8826,2.0305,2.9757,5.26,2.38
NLLB 3.3B,Int8 Bookends,1,0.8874,0.8958,0.8916,3.1152,4.3363,5.2,3.72
NLLB 3.3B,Int8 Bookends,2,0.8771,0.8899,0.8835,3.284,4.7122,5.55,3.72
NLLB 3.3B,Int8 Bookends,3,0.8825,0.8866,0.8846,3.084,4.5679,5.58,3.72
NLLB 3.3B,Fp4,1,0.8864,0.8937,0.8901,1.6708,2.3579,5.04,2.38
NLLB 3.3B,Fp4,2,0.8779,0.8911,0.8845,1.7041,2.3589,5.14,2.38
NLLB 3.3B,Fp4,3,0.8814,0.8865,0.8839,1.6513,2.4071,5.14,2.38
NLLB 3.3B,Fp8,1,0.8875,0.8963,0.8919,1.6626,2.2936,5.3,3.62
NLLB 3.3B,Fp8,2,0.8774,0.8895,0.8835,1.7385,2.4986,5.74,3.62
NLLB 3.3B,Fp8,3,0.8838,0.8837,0.8837,1.6539,2.4124,5.83,3.62
NLLB 3.3B,Fp8 Per Tensor,1,0.888,0.8925,0.8902,1.6849,2.3034,4.89,3.61
NLLB 3.3B,Fp8 Per Tensor,2,0.8771,0.886,0.8815,1.7571,2.489,4.96,3.61
NLLB 3.3B,Fp8 Per Tensor,3,0.8825,0.8841,0.8833,1.6484,2.4282,4.96,3.61
NLLB 3.3B,Full Model,1,0.8652,0.8986,0.8819,0.4901,0.6662,4.98,12.48
NLLB 3.3B,Full Model,2,0.8635,0.8898,0.8766,0.5031,0.694,5.08,12.48
NLLB 3.3B,Full Model,3,0.867,0.8864,0.8767,0.4542,0.6463,5.08,12.48
